id;tipo;produto;ano;Total
19;DERIVADOS;Base espumante moscatel;2013;1470700
20;DERIVADOS;Base Champenoise champanha;2013;359617
21;DERIVADOS;Base Charmat champanha;2013;624728
22;DERIVADOS;Bebida de uva;2013;4260
23;DERIVADOS;Polpa de uva;2013;1742152
24;DERIVADOS;Mosto simples;2013;58517506
25;DERIVADOS;Mosto concentrado;2013;0
26;DERIVADOS;Mosto de uva com bagaço;2013;0
27;DERIVADOS;Mosto dessulfitado;2013;0
28;DERIVADOS;Mistelas;2013;2500
29;DERIVADOS;Néctar de uva;2013;10000
30;DERIVADOS;Licorosos;2013;0
31;DERIVADOS;Compostos;2013;0
32;DERIVADOS;Jeropiga;2013;0
33;DERIVADOS;Filtrado;2013;0
34;DERIVADOS;Frisante;2013;1009000
35;DERIVADOS;Vinho leve;2013;0
36;DERIVADOS;Vinho licoroso;2013;100
37;DERIVADOS;Brandy;2013;0
38;DERIVADOS;Destilado;2013;0
39;DERIVADOS;Bagaceira;2013;0
40;DERIVADOS;Licor de bagaceira;2013;0
41;DERIVADOS;Vinagre;2013;0
42;DERIVADOS;Borra líquida;2013;63111
43;DERIVADOS;Borra seca;2013;78397
44;DERIVADOS;Vinho Composto;2013;0
45;DERIVADOS;Pisco;2013;0
46;DERIVADOS;Vinho orgânico;2013;0
47;DERIVADOS;Espumante orgânico;2013;0
48;DERIVADOS;Destilado alcoólico simples de bagaceira ;2013;0
49;DERIVADOS;Vinho acidificado ;2013;0
50;DERIVADOS;Mosto parcialmente fermentado ;2013;0
51;DERIVADOS;Outros derivados;2013;0
2;VINHO DE MESA;Tinto;2014;157776363
3;VINHO DE MESA;Branco;2014;37438069
4;VINHO DE MESA;Rosado;2014;958691
6;VINHO FINO DE MESA (VINÍFERA);Tinto;2014;17208996
7;VINHO FINO DE MESA (VINÍFERA);Branco;2014;20054804
8;VINHO FINO DE MESA (VINÍFERA);Rosado;2014;1200514
10;SUCO;Suco de uva integral;2014;43331223
11;SUCO;Suco de uva concentrado;2014;33392314
12;SUCO;Suco de uva adoçado;2014;0
13;SUCO;Suco de uva orgânico;2014;0
14;SUCO;Suco de uva reconstituído;2014;0
16;DERIVADOS;Espumante;2014;2700
17;DERIVADOS;Espumante moscatel;2014;100000
18;DERIVADOS;Base espumante;2014;0
19;DERIVADOS;Base espumante moscatel;2014;1808044
20;DERIVADOS;Base Champenoise champanha;2014;234725
21;DERIVADOS;Base Charmat champanha;2014;376968
22;DERIVADOS;Bebida de uva;2014;3860
23;DERIVADOS;Polpa de uva;2014;2484000
24;DERIVADOS;Mosto simples;2014;57582195
25;DERIVADOS;Mosto concentrado;2014;0
26;DERIVADOS;Mosto de uva com bagaço;2014;0
27;DERIVADOS;Mosto dessulfitado;2014;0
28;DERIVADOS;Mistelas;2014;1000
29;DERIVADOS;Néctar de uva;2014;1140
30;DERIVADOS;Licorosos;2014;0
31;DERIVADOS;Compostos;2014;0
32;DERIVADOS;Jeropiga;2014;0
33;DERIVADOS;Filtrado;2014;0
34;DERIVADOS;Frisante;2014;26069
35;DERIVADOS;Vinho leve;2014;0
36;DERIVADOS;Vinho licoroso;2014;36000
37;DERIVADOS;Brandy;2014;0
38;DERIVADOS;Destilado;2014;0
39;DERIVADOS;Bagaceira;2014;0
40;DERIVADOS;Licor de bagaceira;2014;0
41;DERIVADOS;Vinagre;2014;53776
42;DERIVADOS;Borra líquida;2014;50954
43;DERIVADOS;Borra seca;2014;142850
44;DERIVADOS;Vinho Composto;2014;3000
45;DERIVADOS;Pisco;2014;0
46;DERIVADOS;Vinho orgânico;2014;0
47;DERIVADOS;Espumante orgânico;2014;0
48;DERIVADOS;Destilado alcoólico simples de bagaceira ;2014;0
49;DERIVADOS;Vinho acidificado ;2014;0
50;DERIVADOS;Mosto parcialmente fermentado ;2014;0
51;DERIVADOS;Outros derivados;2014;0
2;VINHO DE MESA;Tinto;2015;169811472
3;VINHO DE MESA;Branco;2015;39557250
4;VINHO DE MESA;Rosado;2015;939838
6;VINHO FINO DE MESA (VINÍFERA);Tinto;2015;16745896
7;VINHO FINO DE MESA (VINÍFERA);Branco;2015;19561966
8;VINHO FINO DE MESA (VINÍFERA);Rosado;2015;841120
10;SUCO;Suco de uva integral;2015;52233155
11;SUCO;Suco de uva concentrado;2015;35661313
12;SUCO;Suco de uva adoçado;2015;0
13;SUCO;Suco de uva orgânico;2015;0
14;SUCO;Suco de uva reconstituído;2015;0
16;DERIVADOS;Espumante;2015;23750
