Ano;Vinhos;Total;Tipo
2013;Schonburger;14087;Brancas/Rosadas
2014;Schonburger;5194;Brancas/Rosadas
2017;Schonburger;7454;Brancas/Rosadas
2018;Schonburger;14354;Brancas/Rosadas
2020;Schonburger;14499;Brancas/Rosadas
2021;Schonburger;5500;Brancas/Rosadas
2006;Sylvaner;4530;Brancas/Rosadas
2007;Sylvaner;4693;Brancas/Rosadas
2008;Sylvaner;6587;Brancas/Rosadas
2009;Sylvaner;492;Brancas/Rosadas
2011;Sylvaner;1435;Brancas/Rosadas
2012;Sylvaner;144;Brancas/Rosadas
2013;Sylvaner;155;Brancas/Rosadas
2006;Trebbiano;1376390;Brancas/Rosadas
2007;Trebbiano;1711643;Brancas/Rosadas
2008;Trebbiano;1846212;Brancas/Rosadas
2009;Trebbiano;1578176;Brancas/Rosadas
2010;Trebbiano;1338957;Brancas/Rosadas
2011;Trebbiano;2439317;Brancas/Rosadas
2012;Trebbiano;2576020;Brancas/Rosadas
2013;Trebbiano;2876041;Brancas/Rosadas
2014;Trebbiano;3342859;Brancas/Rosadas
2015;Trebbiano;3830336;Brancas/Rosadas
2016;Trebbiano;2083491;Brancas/Rosadas
2017;Trebbiano;3892478;Brancas/Rosadas
2018;Trebbiano;4504485;Brancas/Rosadas
2020;Trebbiano;4682326;Brancas/Rosadas
2021;Trebbiano;67720;Brancas/Rosadas
2016;Trebbiano Toscano;2694;Brancas/Rosadas
2017;Trebbiano Toscano;100047;Brancas/Rosadas
2018;Trebbiano Toscano;18110;Brancas/Rosadas
2020;Trebbiano Toscano;122512;Brancas/Rosadas
2021;Trebbiano Toscano;184310;Brancas/Rosadas
2011;Verdelho;12420;Brancas/Rosadas
2012;Verdelho;14339;Brancas/Rosadas
2018;Verdelho;1800;Brancas/Rosadas
2020;Verdelho;1540;Brancas/Rosadas
2021;Verdelho;15503;Brancas/Rosadas
2006;Vermentino;1040;Brancas/Rosadas
2007;Vermentino;660;Brancas/Rosadas
2008;Vermentino;3090;Brancas/Rosadas
2009;Vermentino;1940;Brancas/Rosadas
2010;Vermentino;560;Brancas/Rosadas
2011;Vermentino;5480;Brancas/Rosadas
2012;Vermentino;4844;Brancas/Rosadas
2013;Vermentino;3220;Brancas/Rosadas
2014;Vermentino;1890;Brancas/Rosadas
2015;Vermentino;790;Brancas/Rosadas
2006;Vernaccia;34760;Brancas/Rosadas
2007;Vernaccia;32672;Brancas/Rosadas
2008;Vernaccia;21146;Brancas/Rosadas
2009;Vernaccia;14498;Brancas/Rosadas
2010;Vernaccia;6520;Brancas/Rosadas
2011;Vernaccia;4930;Brancas/Rosadas
2012;Vernaccia;3780;Brancas/Rosadas
2013;Vernaccia;7970;Brancas/Rosadas
2014;Vernaccia;4150;Brancas/Rosadas
2015;Vernaccia;4760;Brancas/Rosadas
2017;Vernaccia;5100;Brancas/Rosadas
2018;Vernaccia;4020;Brancas/Rosadas
2020;Vernaccia;95680;Brancas/Rosadas
2006;Viognier;16581;Brancas/Rosadas
2007;Viognier;37628;Brancas/Rosadas
2008;Viognier;41338;Brancas/Rosadas
2009;Viognier;49935;Brancas/Rosadas
2010;Viognier;76145;Brancas/Rosadas
2011;Viognier;144979;Brancas/Rosadas
2012;Viognier;200288;Brancas/Rosadas
2013;Viognier;247081;Brancas/Rosadas
2014;Viognier;149333;Brancas/Rosadas
2015;Viognier;285217;Brancas/Rosadas
2016;Viognier;95231;Brancas/Rosadas
2017;Viognier;365103;Brancas/Rosadas
2018;Viognier;470555;Brancas/Rosadas
2020;Viognier;531026;Brancas/Rosadas
2021;Viognier;78305;Brancas/Rosadas
2006;Total;34162995;Tinto
2007;Total;43653087;Tinto
2008;Total;48852574;Tinto
2009;Total;39148123;Tinto
2010;Total;23633831;Tinto
2011;Total;44473588;Tinto
2012;Total;39303313;Tinto
2013;Total;36855419;Tinto
2014;Total;29810706;Tinto
2015;Total;29935627;Tinto
2016;Total;13370866;Tinto
2017;Total;32850915;Tinto
2018;Total;26868514;Tinto
2020;Total;28003505;Tinto
